,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
The park is easily accessible via public transportation._num,0.2057947478621,-0.033210980962632426,-0.15365151692441487,0.145470274865143,-0.32400911543764455,-0.03851357170077594,-0.30594658788548074,-0.010285514890542273,0.3706762310571685,-0.047136323129295735
Local communities actively participate in programs related to Paco Park's sustainability._num,0.20082469317778892,0.2827065293764854,0.21387353010158025,-0.06295803164327782,0.03467992953620319,0.23874839569537787,-0.10320579829655137,0.24377210547357517,-0.2118941781745639,0.06217507922625855
Local businesses collaborate with Paco Park management to promote sustainable tourism._num,0.17763279903206533,0.45918546529447174,0.23740121836417305,0.0021162062195376535,-0.12172736747207008,-0.0876936688885082,-0.07062829838861867,0.0333277511347226,0.009147739559919491,-0.07923704823019873
"Residents around Paco Park benefit economically (e.g., jobs, livelihood, tourism-related businesses) from its tourism activities._num",0.20600872941420315,0.3565691984310924,0.17370281242109162,-0.07877089381605037,0.07296326913321624,0.05752658804940987,-0.06268550441321402,0.08695337118911876,0.06157513171697941,0.11153843581065231
Social media advocacy by community members effectively raises awareness about preserving Paco Park._num,0.17001086993683667,0.3690516116298809,-0.037841968064232664,-0.11562119282446552,-0.2077214249321864,-0.2513727356311064,0.2657244951825088,-0.2770215083565567,0.2680774191866105,0.0577286118470363
Local religious or cultural traditions influence the way the community helps preserve Paco Park._num,0.2177896322977446,0.08477244179407285,0.10163316753910953,0.30167312303080357,0.04810983696254764,-0.04060340032663458,-0.06050898926129115,0.04016915508998032,0.04903386798338501,0.13468050748225296
Visitors of Paco Park actively follow park rules and guidelines that promote environmental sustainability._num,0.1979929550531386,0.020106721000209715,-0.32740040248817676,0.15128063015260448,0.05167256959627453,0.3028248929909674,-0.2337137349453754,0.13308119771695867,-0.0031806042213995685,0.42881669570125974
"Local stakeholders (e.g., community members, businesses, or organizations) support initiatives that help maintain the park’s green spaces._num",0.22906564596224874,0.11289649003439946,-0.06324553907545805,0.31863247351314994,-0.02740060253791888,0.07491296629180318,0.2943065062772074,0.16648756348949306,-0.06888842130265829,-0.029279335504239872
Preservation efforts in Paco Park are strengthened through the collaboration of visitors and local stakeholders._num,0.2374652046308436,0.07857253769521648,-0.16020339470950026,0.11246791435480706,-0.0702132070491987,-0.03936455974430648,0.10813476279636199,-0.15455499495528296,-0.2915018431734047,-0.29878527698527696
The involvement of local stakeholders contributes significantly to maintaining the park’s sustainability amidst urban development pressures._num,0.23985344310761067,0.08711201166742107,-0.16348774477569233,0.0980254871837013,0.03422851775641403,0.16212878666310204,0.051558133346581284,0.010364716524038142,-0.29376537657843266,0.0915349964971667
Visitors contribute positively to maintaining cleanliness and order in the park._num,0.2041167703259321,0.06875430537172156,-0.3658227390221873,0.044575673472269886,0.08134849603363396,-0.026430700492887614,0.22141235659257688,-0.3051524815761978,-0.11243675673183866,-0.3294147664199426
