Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Total_Mean,ES_Total_Mean,POS_Group
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,5,3,3,3,3.6,3.8,Moderate Support
30 - 34 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4.9,4.8,High Support
30 - 34 years old,Female,Married,Filipino / Philippines,Master's Degree,5 years and above,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Male,Married,Indian / India,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,3,4,4,4,5,4,4,5,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,4,4,3,4,4,4.05,4.0,High Support
35 - 39 years old,Female,Single,South Africa ,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,4,2,4,4,4,4,4,4,4,5,3,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3.9,3.9,Moderate Support
40 and above,Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,4,4,3,5,4,4.75,4.3,High Support
40 and above,Male,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.8,4.9,High Support
40 and above,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,3,3,4,4,3.75,3.6,Moderate Support
25 - 29 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,5,4,5,4,4,4,4,5,4,5,5,4,5,5,5,4,3,3,2,5,4,5,4,4,3,3,2,5,4,4.2,3.9,High Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,3,4,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.55,5.0,High Support
25 - 29 years old,Male,Married,Filipino / Philippines,Master's Degree,3 - 4 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,5,4,5,4,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5,4,4,4,5,4,5,3,2,3,4.3,3.9,High Support
20 - 24 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,5,4,4,5,4,5,4,4,4,5,5,4,4,4,4,4,5,4,5,5,5,4,5,4,4,4,4.25,4.5,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,4.2,3.7,High Support
40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,4,5,5,5,5,5,5,3,5,4,4,5,5,5,5,3,5,5,3,5,5,3,3,3,4,4,2,3,4.65,3.5,High Support
25 - 29 years old,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,4,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,2,5,4,2,2,1,2,1,4,4,4.8,2.7,High Support
25 - 29 years old,Female,Single,Filipino / Philippines,Others (please specify),Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,4,3,3,2,3,2,4,1,3,3,3,3,3,3,3,3,3,3,2,3,3,4,5,4,4,4,2.9,3.5,Low Support
35 - 39 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.9,4.0,Moderate Support
40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,2,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,3,3,2,2,2,3,2,3.0,2.7,Low Support
25 - 29 years old,Female,Single,Colombian,Bachelor's Degree,1 - 2 years,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,3.9,4.1,Moderate Support
35 - 39 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3.85,3.9,Moderate Support
25 - 29 years old,Male,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,4,4,3,4,4,4,4,2,2,2,4,4,4,3,3,3,3,3,3,3,3,4,4,2,1,3,3.45,2.9,Low Support
40 and above,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5.0,4.8,High Support
40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95,4.0,Moderate Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,2,2,2,2,4,4,4,4,5,3,3,3,4,3,3,3,2,3,4,2,5,4,3,3,3,2,3,3,2,3.1,3.0,Low Support
30 - 34 years old,Male,Single,Filipino / Philippines,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Male,Married,Filipino / Philippines,Master's Degree,5 years and above,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,2,4,4,4,3,4,4,4,2,2,2,2,3,3.65,3.0,Moderate Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,4,5,4,4,3.9,4.5,Moderate Support
25 - 29 years old,Female,Single,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4.0,4.2,Moderate Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3.9,3.9,Moderate Support
30 - 34 years old,Female,Single,Chinese / China,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
30 - 34 years old,Male,Married,Fijian,Master's Degree,1 - 2 years,Others (please specify),4 years and above,Executive Level (Top level of Leadership),"$2,001 - $3,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
25 - 29 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,4,3,3,5,4,3,3,5,4,3,4,4,4,5,4,3,1,4,1,3,5,3,4,3,5,3,4,5,4,3.6,3.9,Moderate Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,4,4,4,4,3,2,4,4,2,2,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,3.5,3.8,Moderate Support
20 - 24 years old,Female,Single,Indian / India,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",3,3,4,3,2,5,5,4,4,4,4,4,4,4,4,5,3,4,2,4,4,3,3,3,4,4,4,4,4,3,3.75,3.6,Moderate Support
25 - 29 years old,Female,Married,Bhutan ,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,4,2,2,5,2,2,4,1,2,2,2,2,2,2,2.1,2.1,Low Support
35 - 39 years old,Female,Married,Indian / India,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,3,4,3,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3.65,3.7,Moderate Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.45,4.0,Low Support
40 and above,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
20 - 24 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",2,3,3,3,3,2,4,3,4,3,3,4,5,4,2,2,3,3,3,4,3,4,4,3,2,2,3,4,3,3,3.15,3.1,Low Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3.0,3.5,Low Support
25 - 29 years old,Female,Single,Indian / India,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,4,4,3,3,4,4,5,4,3,4,4,5,4,4,3,3,4,4,5,4,4,5,4,5,3,4,4,3,3.8,4.1,Moderate Support
20 - 24 years old,Female,Single,Indian / India,Master's Degree,5 years and above,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4.25,4.3,High Support
25 - 29 years old,Female,Married,Nepalese ,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,4,4,4,3,4,5,5,4,3,4,5,4,4,2,3,4,4,4,4,3,3,3,4,3,3,4,4,3,3.85,3.4,Moderate Support
20 - 24 years old,Female,Single,Nepali,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
20 - 24 years old,Male,Single,Nepalese ,Master's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4.0,3.7,Moderate Support
25 - 29 years old,Female,Married,Nepalese,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3.5,3.3,Moderate Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Healthcare,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",2,1,1,1,2,3,3,3,3,3,2,5,5,4,2,1,1,1,2,4,2,3,1,1,3,3,5,3,1,2,2.45,2.4,Low Support
25 - 29 years old,Female,Married,Nepal,Bachelor's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,4,3,3,3,3,3,4,3.3,3.4,Low Support
25 - 29 years old,Female,Married,Nepalese ,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.15,3.0,Low Support
25 - 29 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,3.75,3.8,Moderate Support
25 - 29 years old,Female,Single,Nepal/ Neplease,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,2,2,3,5,5,4,2,2,4,3,4,5,4,4,4,3,3,4,3,4,3,3,3,2,4,3,3,3,3.55,3.1,Moderate Support
30 - 34 years old,Female,Married,Nepal,Others (please specify),1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,4,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4.8,4.7,High Support
25 - 29 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4.0,4.2,Moderate Support
20 - 24 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,4,3,2,3,3,2,3,2,2,3,2,3,3,4,4,2,3,4,4,4,5,4,3,3,3,4,4,4,4,2.95,3.8,Low Support
20 - 24 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.05,3.0,Low Support
30 - 34 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
35 - 39 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,3,4,3,3,5,5,5,5,5,5,5,5,5,5,4.45,5.0,High Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Male,Married,Vietnamese/Viet Nam,Bachelor's Degree,1 - 2 years,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",4,4,3,4,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3.45,3.5,Low Support
35 - 39 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Female,Married,Singapore,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3.0,3.4,Low Support
40 and above,Female,Married,Korean,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
35 - 39 years old,Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.15,4.0,High Support
30 - 34 years old,Male,Married,Indonesia,Bachelor's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,4.0,3.4,Moderate Support
30 - 34 years old,Male,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,4 years and above,Executive Level (Top level of Leadership),"Above $5,000",5,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,4,3,3,3,3,3,2,3.7,3.2,Moderate Support
20 - 24 years old,Female,Single,Indian / India,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,3,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4.45,4.4,High Support
25 - 29 years old,Male,Single,Chinese / China,Bachelor's Degree,5 years and above,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
