Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Recog_Mean,POS_Sup_Mean,POS_Cond_Mean,POS_Fair_Mean,ES_Int_Mean,ES_Ext_Mean,POS_Total_Mean,ES_Total_Mean,POS_Group
Male,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Disagree,1,2,2,1,1,1,3,4,4,3,3,3,2,4,2,2,4,4,3,3,2,2,4,5,1,5,5,1,1,,1.4,3.0,2.8,3.2,2.8,3.0,2.6,2.888888888888889,Low Support
Female,Married,Indian / India,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,4,2,3,4,3,2,4,4,2,3,4,3,3,4,4,3,4,3,4,3,4,3,4,2,4,3,4,3,3,,3.2,3.0,3.6,3.4,3.4,3.25,3.3,3.3333333333333335,Low Support
Male,Single,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,5,4,4,3,4,2,4,4,3,4,3,5,4,5,4,4,5,5,3,5,4,4,4,5,5,4,2,4,4,,4.0,3.4,4.2,4.4,4.4,3.5,4.0,4.0,Moderate Support
Male,Married,Indian / India,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,3,4,4,4,5,4,4,5,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,4,4,3,4,4,,3.8,4.4,4.2,3.8,4.2,3.75,4.05,4.0,High Support
Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Support
Male,Single,New Zealander / New Zealand,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Disagree,3,4,3,3,4,4,3,3,4,2,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,2,4,,3.4,3.2,3.0,3.4,4.0,3.5,3.25,3.7777777777777777,Low Support
Male,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Strongly Disagree,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,1.2,1.0,1.0,1.0,1.0,1.05,1.0,Low Support
Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Married,Bhutanese,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,,3.8,4.0,4.0,4.0,3.4,3.25,3.95,3.3333333333333335,Moderate Support
Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,3,5,4,4,5,4,4,4,4,4,4,3,4,4,,4.0,4.2,4.4,4.2,4.0,3.75,4.2,3.888888888888889,High Support
Male,Married,Indonesia,Bachelor's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,,4.0,4.0,4.0,4.0,3.4,3.25,4.0,3.3333333333333335,Moderate Support
Male,Single,Filipino / Philippines,Master's Degree,3 - 4 years,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,,4.0,4.0,4.0,4.0,3.8,4.0,4.0,3.888888888888889,Moderate Support
Male,Single,Indian / India,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Male,Married,Samoan,Doctorate Degree,5 years and above,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"Above $5,000",Strongly Agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Support
Female,Married,Indian / India,Master's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Neutral,2,4,2,3,4,2,2,2,4,2,4,5,5,5,5,5,2,4,5,3,4,5,4,5,2,4,4,4,5,,3.0,2.4,4.8,3.8,4.0,4.25,3.5,4.111111111111111,Moderate Support
Female,Married,Ukrainian ,Master's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Married,NEPAL/ NEPALESE ,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,2,2,4,4,4,3,4,5,3,3,4,4,4,3,4,5,4,4,2,3,2,4,4,3,4,2,2,4,,3.2,3.8,3.6,3.8,3.2,3.0,3.6,3.111111111111111,Moderate Support
Male,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Agree,4,4,4,4,4,3,2,4,4,2,2,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,,4.0,3.0,3.4,3.6,3.8,3.75,3.5,3.7777777777777777,Moderate Support
Male,Single,Chinese / China,Others,Less than 1 year,Education,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",Strongly Disagree,2,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,,2.8,2.6,2.0,2.0,2.8,3.0,2.35,2.888888888888889,Low Support
Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Male,Widow/Widower,Thai,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,5,5,5,4,4,4,4,4,5,4,4,5,5,4,5,4,5,4,5,4,4,5,5,4,4,5,4,4,5,,4.6,4.2,4.6,4.4,4.4,4.5,4.45,4.444444444444445,High Support
Female,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.4,4.0,4.0,4.0,4.0,4.0,4.1,4.0,High Support
Female,Married,Indian / India,Master's Degree,1 - 2 years,Others,6 months to 1 year,Executive Level (Top level of Leadership),"$2,001 - $3,000",Strongly Agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Support
Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,5,4,5,5,5,5,5,5,3,5,4,4,5,5,5,5,3,5,5,3,5,5,3,3,3,4,4,2,3,,4.8,4.6,4.6,4.2,3.8,3.25,4.55,3.5555555555555554,High Support
Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,,4.0,4.0,4.0,4.0,4.0,3.75,4.0,3.888888888888889,Moderate Support
Male,Married,Bangladesh ,Master's Degree,5 years and above,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,5,4,4,4,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,,4.2,4.8,4.6,4.6,4.0,5.0,4.55,4.444444444444445,High Support
Male,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Disagree,3,1,1,1,5,1,1,1,2,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,,2.2,1.4,1.4,1.2,1.0,1.5,1.55,1.2222222222222223,Low Support
Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Others,6 months to 1 year,Executive Level (Top level of Leadership),"Below $2,000",Neutral,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,4,3,4,3,4,3,3,3,2,3,3,3,4,3,,2.8,2.8,2.6,3.6,2.8,3.25,2.95,3.0,Low Support
Male,Single,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,2 -3 years,Executive Level (Top level of Leadership),"Below $2,000",Agree,4,3,4,5,4,4,4,4,5,4,4,4,4,5,3,4,4,4,4,4,5,5,4,4,4,3,4,4,4,,4.0,4.2,4.0,4.0,4.4,3.75,4.05,4.111111111111111,High Support
Female,Single,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Low Support
Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Strongly Agree,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,2,3,5,4,4,4,5,5,5,5,5,5,5,,5.0,5.0,3.8,3.8,4.6,5.0,4.4,4.777777777777778,High Support
Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,4,5,4,4,,3.8,3.8,4.0,4.4,4.6,4.25,4.0,4.444444444444445,Moderate Support
Female,Married,Nepalese ,Master's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,3,4,4,4,3,4,5,5,4,3,4,5,4,4,2,3,4,4,4,4,3,3,3,4,3,3,4,4,3,,3.6,4.2,3.8,3.8,3.2,3.5,3.85,3.3333333333333335,Moderate Support
Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Married,Indian / India,Master's Degree,Less than 1 year,Others (please specify),Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.2,3.0,3.0,3.0,3.0,3.0,3.05,3.0,Low Support
Female,Married,Chinese / China,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Single,Indian / India,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Disagree,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,,1.2,1.0,1.0,1.2,1.6,1.5,1.1,1.5555555555555556,Low Support
Male,Single,Indian / India,Master's Degree,3 - 4 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Single,Nepali,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Low Support
Male,Married,Filipino / Philippines,Master's Degree,3 - 4 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,4,5,4,5,4,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5,4,4,4,5,4,5,3,2,3,,4.4,4.4,4.2,4.6,4.2,3.25,4.4,3.7777777777777777,High Support
Male,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Agree,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,3.6,3.8,4.0,4.0,4.0,3.75,3.85,3.888888888888889,Moderate Support
Male,Married,Chinese / China,Master's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Neutral,2,3,2,3,2,3,2,3,3,4,3,3,4,2,3,3,3,4,3,3,3,3,3,4,3,4,3,4,3,,2.4,3.0,3.0,3.2,3.2,3.5,2.9,3.3333333333333335,Low Support
Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",Agree,1,1,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,,3.0,5.0,3.4,3.8,5.0,5.0,3.8,5.0,Moderate Support
Female,Single,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,,4.0,4.0,4.0,4.2,5.0,4.25,4.05,4.666666666666667,High Support
Male,Married,Vietnamese/Viet Nam,Bachelor's Degree,1 - 2 years,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Agree,4,3,4,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,,3.6,3.8,3.2,3.2,3.8,3.0,3.45,3.4444444444444446,Low Support
Female,Single,Colombian,Bachelor's Degree,1 - 2 years,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,,3.8,4.0,4.0,4.0,4.0,4.0,3.95,4.0,Moderate Support
Female,Married,Filipino / Philippines,Master's Degree,5 years and above,Business / Finance,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3.6,4.0,3.4,4.0,4.0,4.0,3.75,4.0,Moderate Support
Female,Married,Bangladesh ,Master's Degree,1 - 2 years,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Strongly Agree,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,,5.0,4.8,5.0,5.0,4.8,4.25,4.95,4.555555555555555,High Support
Female,Single,Chinese / Malaysia ,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Low Support
Female,Married,Indian / India,Master's Degree,3 - 4 years,Business / Finance,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Agree,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,,3.4,3.8,4.0,4.2,4.0,4.0,3.85,4.0,Moderate Support
Female,Married,Nepali,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,2,4,4,3,3,2,2,2,3,3,,3.2,3.8,4.0,3.0,3.2,2.5,3.5,2.888888888888889,Moderate Support
Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Male,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Low Support
Male,Married,Chinese / China,Master's Degree,5 years and above,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Strongly Disagree,2,3,4,5,5,4,2,3,4,2,4,5,4,4,3,3,4,4,3,3,4,4,4,5,4,3,3,4,4,,3.8,3.0,4.0,3.4,4.2,3.5,3.55,3.888888888888889,Moderate Support
Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Agree,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Moderate Support
Female,Single,Indian / India,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2.6,3.0,3.0,3.0,3.0,3.0,2.9,3.0,Low Support
