Timestamp,Do you agree to participate in this Research?,Please select your age range.,Gender,Civil Status,Nationality/Country of Origin,Highest Educational Attainment,Length of Stay in New Zealand,Type of Job Industry,Tenure in Current Organization,Role / Position,Monthly Income (NZD),My employer ensures that my contributions in the company are appreciated and recognized.  ,I am highly valued by my supervisors; all my outputs are given high regard and appreciation. ,I am regularly rewarded when I meet work targets and deadlines on time. ,"I am confident that my inputs in the organization are as much appreciated as that of my colleagues, and this is what is encouraging me to keep delivering my best.",My employer is open and respectful of my ideas and guarantees that my inputs are meaningful to the improvement of the organization.,My supervisor is always accessible when I need assistance regarding work or performance. ,"I am heard when I communicate my concerns and suggestions, and they consider my contributions. ",I am motivated to deal with challenging work to improve my organizational skills and be open to various opportunities at work. ,I am encouraged to perform at my best when confronted with challenges in the workplace.,I am encouraged to join a professional development opportunity to expand my potential and organizational skills. ,I am provided with the adequate tools and resources to do my job effectively. ,I feel my workload is reasonable and manageable because of the assurance of quality working conditions. ,My workplace ensures that I work in a healthy environment that is free from toxicity and unnecessary distractions. ,I am encouraged to be independent and exercise autonomy in relation to my work tasks without much supervision. ,I enjoy working in a systematic and highly organized environment where I can work with ease and ensure goal attainment. ,I experience fair treatment in my workplace regardless of my background or my nationality.,I have experienced consistent enforcement of organizational policies on all employees.,I attest that the promotion and reward systems given to all employees are transparent and free of bias.,I witness how the organization promotes diversity and inclusion in the workplace all the time. ,I find that disputes are supposed to be resolved in a fair and impartial manner.,I am happy about how meaningful my work is.,I am capable of efficient application of my skills and knowledge in my work.,I also achieve self-improvement and maturity at work.,I am passionate and inspired in what I do.,I feel accomplished and gratified with my work.,I am satisfied with the compensation and benefits programs of the company. ,I feel secure at the job I hold.,I am offered the chance of promotion and career development.,I am satisfied that the demands of the work environment and time reflect my personal and professional requirements.,I think the organization rewards performance and effort adequately.,Do you meet all of the eligibility criteria to participate in this survey?,Column 42
12/20/2025 22:13:44,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
12/22/2025 14:25:38,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
12/22/2025 15:45:52,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/4/2026 13:17:19,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 15:21:52,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 17:17:19,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 17:34:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/5/2026 17:50:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/5/2026 18:10:59,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Filipino / Philippines,Master's Degree,5 years and above,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 19:19:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/5/2026 19:23:26,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Indian / India,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 19:37:14,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Single,South Africa ,Master's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 19:54:17,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 19:54:37,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Others (please specify),6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 19:57:12,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 19:58:56,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 20:03:10,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,3 - 4 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 20:07:10,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Married,Filipino / Philippines,Master's Degree,3 - 4 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 20:10:27,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 21:08:17,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 21:49:32,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/5/2026 22:21:58,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 1:59:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/6/2026 2:02:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/6/2026 2:11:18,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Filipino / Philippines,Others (please specify),Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 3:17:50,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 7:52:58,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 8:12:56,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Colombian,Bachelor's Degree,1 - 2 years,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 9:07:29,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 10:40:58,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Strongly disagree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 10:42:11,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 10:48:45,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/6/2026 10:55:52,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,"Yes, I confirm that I meet all of the eligibility criteria.",
