Respondent #,Date,PAB1,PAB2,PAB3,PAB4,PAB5,PAB6,PAB7,Mean PAB,Ordinal PAB,HSA1,HSA2,HSA3,HSA4,HSA5,HSA6,HSA7,Mean HSA,Ordinal HSA,IRS1,IRS2,IRS3,IRS4,IRS5,IRS6,IRS7,Mean IRS,Ordinal IRS,VH1,VH2,VH3,VH4,VH5,Mean VH,Ordinal VH
R24,02/08/2026,5,2,5,5,2,2,2,3.29,3,5,5,2,5,5,5,3,4.29,5,5,5,5,5,5,5,5,5.00,5,1,2,1,1,5,2.00,2
R25,02/08/2026,5,3,1,5,1,1,1,2.43,2,3,5,1,3,5,5,5,3.86,4,5,5,5,5,5,5,5,5.00,5,5,1,5,5,5,4.20,5
R26,02/08/2026,4,2,3,4,2,4,2,3.00,3,4,5,3,4,5,5,5,4.43,5,2,4,4,2,3,5,2,3.14,3,5,2,5,4,5,4.20,5
R27,02/08/2026,4,3,1,5,2,2,3,2.86,3,4,5,1,3,4,5,3,3.57,4,5,5,4,4,5,5,3,4.43,5,4,1,5,4,4,3.60,4
R28,02/08/2026,4,1,4,2,2,4,4,3.00,3,4,4,1,4,4,4,3,3.43,4,4,4,4,2,3,4,4,3.57,4,4,1,4,3,4,3.20,3
R29,02/08/2026,5,5,4,5,4,5,4,4.57,5,3,3,4,4,5,4,3,3.71,4,4,4,5,4,5,5,5,4.57,5,4,4,4,3,4,3.80,4
R30,02/08/2026,5,2,1,1,1,1,3,2.00,2,3,5,3,4,4,4,3,3.71,4,5,5,5,4,4,5,5,4.71,5,5,1,5,5,5,4.20,5
R31,02/08/2026,4,3,4,4,3,3,3,3.43,4,4,4,5,4,3,3,3,3.71,4,4,3,3,4,4,2,1,3.00,3,4,1,5,4,5,3.80,4
R32,02/08/2026,5,3,1,3,5,3,5,3.57,4,4,5,5,5,5,5,5,4.86,5,5,5,5,5,5,3,3,4.43,5,5,3,5,5,5,4.60,5
R33,02/08/2026,5,2,3,5,2,2,2,3.00,3,5,5,2,3,3,5,5,4.00,4,5,5,5,3,5,5,5,4.71,5,5,2,5,4,5,4.20,5
R34,02/08/2026,5,2,4,4,4,2,2,3.29,3,4,5,2,4,4,4,4,3.86,4,4,4,4,4,3,4,3,3.71,4,5,2,5,5,5,4.40,5
R35,02/08/2026,5,5,5,5,4,5,3,4.57,5,5,5,5,5,4,5,5,4.86,5,1,4,5,5,4,5,5,4.14,4,5,5,5,5,5,5.00,5
R36,02/08/2026,5,5,2,5,2,4,4,3.86,4,5,5,2,5,5,5,5,4.57,5,5,5,5,5,5,5,5,5.00,5,5,2,5,5,5,4.40,5
R37,02/08/2026,3,3,4,5,4,4,5,4.00,4,5,5,5,5,4,5,4,4.71,5,3,4,5,4,5,5,4,4.29,5,4,4,4,5,5,4.40,5
R38,02/08/2026,5,5,4,5,5,4,5,4.71,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5.00,5
R39,02/08/2026,5,5,2,5,2,1,2,3.14,3,4,5,2,4,5,5,4,4.14,4,5,4,5,3,4,5,3,4.14,4,5,1,5,4,5,4.00,4
R40,02/08/2026,5,4,4,4,2,2,3,3.43,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R41,02/08/2026,5,5,4,5,4,5,5,4.71,5,5,5,2,4,4,4,4,4.00,4,5,5,4,5,4,4,4,4.43,5,5,5,5,5,5,5.00,5
R42,02/08/2026,5,4,5,4,4,4,5,4.43,5,3,3,4,4,5,4,5,4.00,4,4,4,5,4,5,5,5,4.57,5,4,4,5,4,5,4.40,5
R43,02/08/2026,4,4,5,5,3,2,4,3.86,4,5,5,2,5,5,5,3,4.29,5,5,5,4,4,5,5,3,4.43,5,5,2,5,5,5,4.40,5
R44,02/08/2026,5,5,5,4,4,5,4,4.57,5,4,4,4,4,4,4,4,4.00,4,4,4,4,4,4,4,4,4.00,4,4,4,4,5,5,4.40,5
R45,02/08/2026,5,3,4,5,2,2,4,3.57,4,4,5,5,4,5,5,5,4.71,5,5,5,5,4,5,5,5,4.86,5,5,4,5,5,5,4.80,5
R46,02/08/2026,3,5,5,5,5,5,3,4.43,5,4,5,5,5,5,5,5,4.86,5,5,5,5,5,5,2,1,4.00,4,5,5,5,5,5,5.00,5
R47,02/08/2026,5,3,4,4,2,3,4,3.57,4,4,5,2,4,5,5,4,4.14,4,4,4,4,2,2,5,4,3.57,4,5,2,5,4,5,4.20,5
R48,02/08/2026,5,1,5,5,1,2,5,3.43,4,5,5,1,5,4,5,1,3.71,4,2,5,5,2,5,5,5,4.14,4,5,1,5,5,5,4.20,5
R49,02/08/2026,3,2,4,4,3,3,3,3.14,3,4,3,2,3,3,4,4,3.29,3,4,4,4,4,3,4,1,3.43,4,4,2,4,5,5,4.00,4
R50,02/08/2026,4,2,2,4,2,2,2,2.57,2,5,5,2,4,4,4,4,4.00,4,5,5,5,3,3,4,4,4.14,4,4,1,5,4,5,3.80,4
R51,02/08/2026,5,5,5,4,3,5,5,4.57,5,4,4,4,5,4,5,5,4.43,5,5,5,5,4,5,4,4,4.57,5,5,5,4,5,5,4.80,5
R52,02/08/2026,5,5,4,5,5,5,4,4.71,5,3,3,5,5,4,5,4,4.14,4,5,5,4,5,4,5,5,4.71,5,4,5,4,5,5,4.60,5
R53,02/08/2026,4,5,5,5,2,3,3,3.86,4,3,3,3,3,3,2,3,2.86,3,5,5,5,5,5,5,4,4.86,5,5,1,5,5,5,4.20,5
R54,02/08/2026,4,5,4,4,5,5,4,4.43,5,5,4,5,4,5,3,3,4.14,4,5,4,4,4,3,5,5,4.29,5,4,5,5,5,5,4.80,5
R55,02/08/2026,5,4,5,4,5,5,4,4.57,5,5,5,5,5,4,5,5,4.86,5,4,5,4,5,4,5,4,4.43,5,5,5,5,5,5,5.00,5
R56,02/08/2026,5,4,5,4,5,5,4,4.57,5,5,5,5,5,4,5,5,4.86,5,4,5,4,5,4,5,4,4.43,5,5,5,5,5,5,5.00,5
R57,02/08/2026,5,5,5,4,3,5,5,4.57,5,4,4,4,5,4,5,5,4.43,5,5,5,5,4,5,4,4,4.57,5,5,5,4,5,5,4.80,5
R58,02/08/2026,5,5,4,5,5,4,5,4.71,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5.00,5
R59,02/08/2026,2,3,4,2,4,4,4,3.29,3,4,3,2,4,4,4,4,3.57,4,2,2,2,4,2,2,2,2.29,2,2,2,3,3,3,2.60,3
R60,02/08/2026,4,2,4,4,2,4,4,3.43,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R61,02/08/2026,4,2,2,4,4,4,4,3.43,4,4,2,2,2,4,4,4,3.14,3,4,4,4,4,4,4,2,3.71,4,4,2,4,4,4,3.60,4
R62,02/08/2026,3,2,4,3,3,4,3,3.14,3,4,3,2,3,3,3,4,3.14,3,2,3,4,4,3,4,1,3.00,3,3,2,4,4,4,3.40,4
R63,02/08/2026,4,2,4,4,4,4,4,3.71,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R64,02/08/2026,4,3,4,2,2,2,2,2.71,3,4,5,1,4,4,4,4,3.71,4,4,4,4,4,4,5,4,4.14,4,5,1,4,4,5,3.80,4
R65,02/08/2026,4,2,3,5,3,3,3,3.29,3,4,4,2,3,4,4,4,3.57,4,4,4,4,4,3,4,1,3.43,4,4,2,4,4,4,3.60,4
R66,02/08/2026,2,4,2,2,4,4,4,3.14,3,2,2,4,2,2,2,2,2.29,2,2,2,2,4,2,2,2,2.29,2,2,2,3,3,3,2.60,3
R67,02/08/2026,3,2,2,4,2,4,4,3.00,3,2,2,2,4,4,4,4,3.14,3,4,4,3,4,4,4,2,3.57,4,4,2,4,4,4,3.60,4
R68,02/08/2026,4,2,4,4,2,4,4,3.43,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R69,02/08/2026,4,4,2,4,2,2,4,3.14,3,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R70,02/08/2026,2,2,4,2,3,4,4,3.00,3,3,2,4,3,3,2,4,3.00,3,2,2,3,4,2,4,1,2.57,2,3,4,3,3,2,3.00,3
R71,02/08/2026,5,5,4,4,4,4,1,3.86,4,4,4,4,4,3,4,4,3.86,4,4,4,4,5,4,4,4,4.14,4,5,4,5,3,5,4.40,5
R72,02/08/2026,5,5,4,3,4,3,5,4.14,4,5,3,5,5,3,4,3,4.00,4,3,4,4,3,5,5,5,4.14,4,3,5,5,4,3,4.00,4
R73,02/08/2026,5,5,1,4,1,2,5,3.29,3,4,4,5,5,4,5,4,4.43,5,5,5,5,4,5,4,4,4.57,5,5,1,5,5,5,4.20,5
R74,02/08/2026,5,5,3,3,5,4,5,4.29,5,4,4,5,5,5,5,5,4.71,5,4,4,4,5,3,5,5,4.29,5,4,4,3,3,4,3.60,4
R75,02/08/2026,5,5,4,5,4,5,5,4.71,5,5,5,4,4,4,5,5,4.57,5,4,4,5,4,5,5,4,4.43,5,4,5,5,5,5,4.80,5
R76,02/08/2026,5,5,4,5,4,5,3,4.43,5,3,3,5,5,5,4,5,4.29,5,4,3,3,5,4,5,5,4.14,4,5,5,5,4,4,4.60,5
R77,02/08/2026,5,5,5,5,5,5,5,5.00,5,3,4,5,5,5,4,4,4.29,5,4,4,4,5,4,4,4,4.14,4,3,5,5,5,5,4.60,5
R78,02/08/2026,5,5,4,5,4,5,4,4.57,5,5,4,5,4,5,5,4,4.57,5,5,5,4,5,4,4,4,4.43,5,4,5,5,5,5,4.80,5
R79,02/08/2026,4,5,4,5,5,5,5,4.71,5,4,4,4,5,4,5,4,4.29,5,5,5,5,5,5,5,4,4.86,5,5,4,4,5,4,4.40,5
R80,02/08/2026,5,4,5,5,4,5,4,4.57,5,5,4,5,5,4,5,4,4.57,5,5,4,4,4,5,4,4,4.29,5,5,5,5,5,5,5.00,5
R81,02/08/2026,5,2,3,5,2,2,1,2.86,3,4,5,5,5,4,5,5,4.71,5,5,5,5,5,5,4,4,4.71,5,5,2,5,5,5,4.40,5
R82,02/08/2026,4,2,4,2,2,2,2,2.57,2,3,2,5,3,4,4,4,3.57,4,3,4,4,4,4,4,4,3.86,4,4,2,4,4,4,3.60,4
R83,02/08/2026,5,5,4,4,3,5,4,4.29,5,4,4,5,5,5,5,3,4.43,5,4,3,3,5,3,5,4,3.86,4,4,5,5,5,3,4.40,5
R84,02/08/2026,4,2,4,4,4,4,4,3.71,4,4,2,4,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R85,02/08/2026,4,2,4,4,3,2,4,3.29,3,2,4,4,4,2,4,4,3.43,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R86,02/08/2026,4,2,4,2,2,2,4,2.86,3,4,5,2,4,4,4,4,3.86,4,4,4,4,3,4,5,4,4.00,4,5,2,4,4,4,3.80,4
R87,02/08/2026,4,2,4,5,2,3,4,3.43,4,4,5,4,4,4,5,4,4.29,5,2,4,4,4,4,4,2,3.43,4,5,2,4,4,4,3.80,4
R88,02/08/2026,1,2,3,4,2,4,4,2.86,3,4,2,2,2,1,1,2,2.00,2,2,2,2,4,1,4,2,2.43,2,2,4,3,3,3,3.00,3
R89,02/08/2026,5,2,4,5,2,4,4,3.71,4,5,5,2,5,5,5,4,4.43,5,3,4,4,5,5,4,4,4.14,4,4,2,5,4,5,4.00,4
R90,02/08/2026,5,2,4,5,4,2,3,3.57,4,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,1,4.43,5,5,1,5,5,5,4.20,5
R91,02/08/2026,5,1,2,5,2,4,4,3.29,3,5,5,2,4,4,4,4,4.00,4,4,4,4,4,4,5,2,3.86,4,4,1,5,5,5,4.00,4
R92,02/08/2026,4,1,1,5,5,5,4,3.57,4,2,3,4,3,2,3,2,2.71,3,4,4,4,5,4,5,4,3.86,4,4,1,5,5,5,4.00,4
R93,02/08/2026,5,3,4,3,2,4,4,3.57,4,1,4,4,4,4,4,2,3.29,3,2,4,4,4,4,5,4,4.29,5,4,2,4,4,4,3.60,4
R94,02/08/2026,4,3,4,4,3,3,4,3.57,4,4,5,3,4,4,4,3,3.86,4,4,4,5,4,4,4,3,3.86,4,4,2,5,4,5,4.00,4
R95,02/08/2026,4,5,4,2,2,4,2,3.29,3,5,5,2,4,4,4,4,4.00,4,4,4,4,4,4,4,4,4.00,4,4,3,5,4,4,4.00,4
R96,02/08/2026,4,2,3,2,2,2,2,2.43,2,4,5,2,4,4,4,3,3.71,4,4,4,4,3,4,5,3,3.86,4,4,2,4,4,4,3.60,4
R97,02/08/2026,5,2,2,5,3,2,2,3.00,3,5,5,5,5,5,5,3,4.71,5,5,5,5,4,4,5,3,4.43,5,5,1,5,5,5,4.20,5
R98,02/08/2026,5,5,2,4,2,2,2,3.14,3,5,5,5,5,5,5,4,4.86,5,5,5,5,5,5,4,4,4.71,5,4,1,5,4,5,3.80,4
R99,02/08/2026,5,1,5,5,3,1,1,3.00,3,4,4,4,5,5,5,4,4.43,5,5,5,5,5,5,4,4,4.71,5,5,1,5,5,5,4.20,5
R100,02/08/2026,5,5,3,4,4,2,2,3.57,4,5,5,5,5,5,5,4,4.86,5,4,4,4,4,5,5,3,4.14,4,4,1,5,5,5,4.00,4
R101,02/08/2026,4,2,4,4,2,3,4,3.29,3,4,2,2,4,4,4,4,3.43,4,2,4,4,4,4,4,2,3.43,4,4,2,4,4,4,3.60,4
R102,02/08/2026,4,4,4,4,4,4,4,4.00,4,4,4,2,2,2,2,4,2.86,3,2,2,2,4,2,2,2,2.29,2,4,2,4,4,4,3.60,4
R103,02/08/2026,5,1,4,5,2,2,4,3.29,3,5,4,4,4,4,4,4,4.14,4,4,4,5,4,5,2,2,3.71,4,5,2,5,5,5,4.40,5
R104,02/08/2026,4,2,2,2,2,2,4,2.57,2,4,4,2,4,4,4,4,3.71,4,4,4,4,3,4,5,4,4.00,4,4,1,4,3,4,3.20,3
R105,02/08/2026,5,1,2,5,4,3,2,3.14,3,5,5,5,5,5,5,4,4.86,5,4,4,4,5,5,4,4,4.29,5,4,2,5,5,5,4.20,5
R106,02/08/2026,4,2,3,2,2,2,4,2.71,3,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,5,4,4.14,4,4,2,4,4,4,3.60,4
R107,02/08/2026,5,3,1,5,1,1,3,2.71,3,3,4,4,4,4,4,3,3.71,4,4,5,5,4,4,5,3,4.29,5,5,2,5,5,5,4.40,5
R108,02/08/2026,4,2,4,4,2,4,4,3.43,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,2,3.71,4,4,2,4,4,4,3.60,4
R109,02/08/2026,4,4,5,4,5,4,3,4.14,4,4,4,4,4,4,3,4,3.86,4,5,5,5,4,5,4,4,4.57,5,3,4,4,4,5,4.00,4
R110,02/08/2026,4,2,4,4,4,4,4,3.71,4,2,2,4,2,4,2,2,2.57,2,4,4,4,4,4,2,2,3.43,4,4,2,4,4,4,3.60,4
R111,02/08/2026,2,4,4,4,4,4,4,3.71,4,4,4,4,2,2,2,4,3.14,3,2,2,2,4,2,4,4,2.86,3,4,2,4,4,4,3.60,4
R112,02/08/2026,4,2,4,4,3,4,4,3.57,4,2,2,2,2,3,1,4,2.29,2,4,3,3,4,2,4,1,3.00,3,4,2,4,4,4,3.60,4
R113,02/08/2026,2,3,4,2,4,4,4,3.29,3,2,2,4,2,3,1,3,2.43,2,2,3,3,4,2,4,2,2.86,3,2,2,3,2,3,2.40,2
R114,02/08/2026,4,2,3,5,2,3,3,3.14,3,3,2,2,3,3,2,4,2.71,3,4,4,4,4,3,4,2,3.57,4,4,2,4,4,4,3.60,4
R115,02/08/2026,3,3,4,3,3,3,4,3.29,3,2,2,4,2,2,2,4,2.57,2,4,2,2,4,2,2,2,2.57,2,3,2,3,3,3,2.80,3
R116,02/08/2026,3,2,4,4,4,4,4,3.57,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,2,4,4,4,3.60,4
R117,02/08/2026,5,5,4,3,5,3,4,4.14,4,4,5,4,5,5,5,5,4.71,5,5,5,5,5,5,5,5,5.00,5,5,2,5,5,5,4.40,5
R118,02/08/2026,4,4,4,4,4,4,4,4.00,4,5,5,3,4,5,4,5,4.43,5,4,5,4,5,4,4,4,4.29,5,5,4,4,4,4,4.20,5
R119,02/08/2026,5,5,4,5,4,5,4,4.57,5,5,4,3,3,4,4,4,3.86,4,4,4,5,4,5,5,5,4.57,5,5,4,4,5,4,4.40,5
R120,02/08/2026,5,5,4,5,4,5,4,4.57,5,5,4,3,3,4,4,4,3.86,4,4,4,5,4,5,5,5,4.57,5,5,4,4,5,4,4.40,5
R121,02/08/2026,5,4,4,4,4,4,5,4.29,5,4,5,4,4,5,4,5,4.43,5,5,5,5,5,5,5,4,4.86,5,4,5,5,5,5,4.80,5
R122,02/08/2026,5,5,4,5,4,4,3,4.29,5,4,4,5,5,5,5,5,4.71,5,5,5,5,5,5,4,5,4.86,5,4,4,5,5,3,4.20,5
R123,02/08/2026,4,4,5,5,4,4,5,4.43,5,5,4,4,4,4,4,4,4.14,4,4,4,4,4,4,5,4,4.14,4,5,4,4,4,4,4.20,5
R124,02/08/2026,4,4,5,4,5,4,4,4.29,5,5,4,4,4,4,5,4,4.29,5,4,4,5,4,5,4,4,4.29,5,5,4,4,5,4,4.40,5
R125,02/08/2026,4,4,4,5,3,4,4,4.00,4,3,4,5,4,4,3,4,3.86,4,4,4,3,4,4,4,4,3.86,4,3,4,4,5,4,4.00,4
R126,02/08/2026,5,4,4,4,5,4,5,4.43,5,4,5,3,3,3,5,4,3.86,4,4,5,4,5,4,4,4,4.29,5,4,4,4,4,4,4.00,4
R127,02/08/2026,4,4,5,4,5,4,3,4.14,4,4,4,4,4,4,3,4,3.86,4,5,5,5,4,5,4,4,4.57,5,3,4,4,4,5,4.00,4
R128,02/08/2026,4,5,4,5,4,5,4,4.43,5,4,4,4,5,4,5,4,4.29,5,4,4,3,4,3,2,3,3.29,3,3,5,5,3,5,4.20,5
R129,02/08/2026,1,1,1,2,1,1,1,1.14,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1.00,1
R130,02/08/2026,5,5,4,5,3,3,3,4.00,4,4,4,5,5,5,5,4,4.57,5,4,5,4,4,5,4,4,4.29,5,4,1,5,4,5,3.80,4
R131,02/08/2026,5,1,2,2,2,2,4,2.57,2,2,5,1,4,4,4,4,3.43,4,2,3,4,4,2,4,2,3.00,3,5,3,5,5,5,4.60,5
R132,02/08/2026,2,3,4,3,4,4,4,3.43,4,4,4,5,4,2,3,4,3.71,4,4,2,4,5,2,3,2,3.14,3,5,2,5,5,5,4.40,5
R133,02/08/2026,5,1,4,5,4,4,4,3.86,4,5,5,3,5,4,5,5,4.57,5,4,5,5,4,4,4,2,4.00,4,5,2,5,5,5,4.40,5
R134,02/08/2026,5,1,1,3,3,3,3,2.71,3,2,2,1,3,3,3,3,2.43,2,2,2,3,4,2,4,4,3.00,3,5,1,5,5,5,4.20,5
R135,02/08/2026,4,3,4,4,3,3,3,3.43,4,4,5,4,5,4,4,5,4.43,5,2,4,4,4,4,3,4,3.57,4,5,3,5,5,4,4.40,5
R136,02/08/2026,4,1,1,4,4,3,4,3.00,3,5,5,3,4,4,4,3,4.00,4,4,4,3,4,3,4,1,3.29,3,4,1,5,4,5,3.80,4
R137,02/08/2026,5,1,4,5,2,4,4,3.57,4,5,5,5,4,4,5,3,4.43,5,2,5,4,5,5,4,2,3.86,4,5,3,5,4,5,4.40,5
R138,02/08/2026,5,1,4,5,1,2,2,2.86,3,2,5,1,2,4,5,5,3.43,4,2,3,5,5,5,3,1,3.43,4,5,1,5,5,5,4.20,5
R139,02/09/2026,3,2,4,3,3,4,4,3.29,3,4,5,3,4,4,4,3,3.86,4,2,4,4,4,3,2,2,3.00,3,5,2,5,5,5,4.40,5
R140,02/09/2026,4,5,4,4,3,4,4,4.00,4,4,4,5,4,4,4,4,4.14,4,4,4,4,4,4,4,3,3.86,4,3,4,5,5,5,4.40,5
R141,02/09/2026,4,1,1,3,4,3,4,2.86,3,3,3,1,3,4,4,4,3.14,3,4,4,4,4,2,4,2,3.43,4,4,1,5,5,5,4.00,4
R142,02/09/2026,5,1,3,5,3,1,3,3.00,3,1,3,5,2,3,4,4,3.14,3,3,5,4,2,2,3,1,2.86,3,5,1,5,5,5,4.20,5
R143,02/09/2026,4,2,4,5,2,2,4,3.29,3,4,4,2,4,4,4,4,3.71,4,2,3,4,3,4,4,2,3.14,3,5,2,5,5,5,4.40,5
R144,02/09/2026,5,5,3,5,3,5,4,4.29,5,5,5,5,5,4,5,5,4.86,5,5,5,4,5,5,5,5,4.86,5,5,1,5,4,5,4.00,4
R145,02/09/2026,4,2,2,4,2,4,4,3.14,3,4,4,2,4,4,4,4,3.71,4,2,4,4,2,5,4,2,3.29,3,5,2,4,4,5,4.00,4
R146,02/09/2026,5,1,2,2,2,3,4,2.71,3,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,4,4.00,4,4,4,5,4,5,4.40,5
R147,02/09/2026,4,2,4,3,2,4,4,3.29,3,4,4,4,4,4,4,4,4.00,4,4,4,4,4,5,4,2,3.86,4,4,1,5,5,5,4.00,4
R148,02/09/2026,5,1,5,5,2,2,4,3.43,4,4,4,2,4,4,4,4,3.71,4,4,4,4,4,4,4,2,3.71,4,4,4,4,4,4,4.00,4
R149,02/09/2026,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5.00,5,5,4,5,5,5,4.80,5
R150,02/09/2026,4,1,3,5,4,4,4,3.57,4,4,4,2,4,3,4,4,3.57,4,4,4,4,2,2,4,2,3.14,3,5,1,5,4,5,4.00,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
